event,aX,aY,aZ,gX,gY,gZ
1,0.947,-0.279,-0.185,2.747,-2.319,-0.793
1,0.950,-0.268,-0.128,2.136,-4.150,0.854
1,0.959,-0.260,-0.078,-0.916,-3.601,2.075
1,0.955,-0.265,-0.061,-5.127,0.977,1.709
1,0.949,-0.271,-0.028,-8.850,3.784,2.563
1,0.953,-0.262,-0.004,-21.729,9.521,6.653
1,0.964,-0.208,0.056,-30.579,13.428,8.484
1,0.951,-0.129,0.085,-50.293,24.963,8.240
1,0.934,-0.087,0.081,-61.035,40.161,-1.648
1,0.911,-0.087,-0.005,-57.251,49.316,-11.841
1,0.912,-0.132,-0.094,-45.105,62.744,-31.494
1,0.915,-0.244,-0.266,-42.114,61.340,-37.598
1,0.962,-0.306,-0.266,-36.072,35.583,-39.917
1,1.015,-0.314,-0.187,-31.982,-2.747,-35.889
1,1.078,-0.332,0.033,-31.616,-15.991,-35.156
1,1.061,-0.332,0.134,-35.156,-20.264,-34.607
1,0.941,-0.349,0.245,-35.034,-10.010,-35.828
1,0.865,-0.377,0.231,-31.860,30.029,-36.804
1,0.820,-0.418,0.046,-35.645,51.086,-32.654
1,0.960,-0.406,-0.172,-48.096,66.467,-20.813
1,1.013,-0.402,-0.198,-40.833,41.382,-14.282
1,1.044,-0.403,-0.071,-34.241,26.123,-11.780
1,1.020,-0.398,0.017,-27.649,15.076,-7.202
1,0.940,-0.370,0.089,-24.414,21.179,-5.676
1,0.921,-0.368,-0.019,-15.808,44.189,-8.057
1,0.911,-0.369,-0.078,-5.981,52.124,-10.864
1,0.842,-0.326,-0.063,-0.366,46.692,-9.705
1,0.774,-0.249,0.087,12.512,28.748,-7.263
1,0.740,-0.224,0.170,14.771,17.273,-12.024
1,0.635,-0.238,0.268,15.381,19.653,-19.409
1,0.557,-0.264,0.276,30.640,35.645,-35.095
1,0.394,-0.271,0.256,49.500,43.396,-38.879
1,0.323,-0.252,0.250,43.091,54.871,-38.574
1,0.199,-0.156,0.295,18.860,57.861,-35.034
1,0.161,-0.080,0.341,3.418,53.833,-32.532
1,0.192,0.013,0.458,22.888,43.701,-41.382
1,0.170,0.013,0.427,193.726,29.968,-88.013
1,-0.045,-0.042,0.172,126.282,54.565,-107.605
1,-0.113,0.079,-0.080,9.033,84.717,-94.727
1,-0.092,0.077,-0.132,-61.890,102.417,-86.121
1,-0.062,0.039,-0.153,-59.326,93.750,-86.060
1,-0.057,0.023,-0.167,-65.796,72.937,-84.229
1,-0.047,0.017,-0.175,-64.392,49.377,-82.275
1,-0.033,-0.005,-0.172,-55.176,35.339,-80.383
1,-0.028,-0.014,-0.162,-34.668,7.202,-71.533
1,-0.024,-0.016,-0.144,-22.766,-5.859,-65.674
1,-0.028,-0.013,-0.125,11.536,-31.555,-55.786
1,-0.031,-0.008,-0.113,64.941,-58.960,-48.523
1,-0.055,0.003,-0.082,98.755,-73.486,-45.654
1,-0.077,0.012,-0.062,175.598,-101.379,-41.138
1,-0.128,0.016,-0.014,217.651,-113.342,-40.283
1,-0.153,0.006,0.014,306.885,-131.042,-35.889
1,-0.196,-0.038,0.073,389.404,-136.719,-15.320
1,-0.238,-0.100,0.129,426.575,-134.521,4.272
1,-0.267,-0.138,0.157,491.211,-121.704,69.885
1,-0.358,-0.219,0.214,518.555,-113.037,120.361
1,-0.441,-0.253,0.254,557.251,-94.604,267.639
1,0.703,0.054,0.048,641.174,-91.919,332.031
1,3.900,-2.584,2.726,739.868,-172.485,92.102
1,1.447,-2.546,2.936,-425.659,1466.980,1406.555
1,-4.000,2.612,-3.285,-674.560,1640.442,1522.400
1,-2.971,1.963,-4.000,-490.540,160.706,196.289
1,-0.388,-0.702,-2.155,-339.722,-93.933,-88.257
1,-0.348,-0.677,-0.737,-223.938,20.996,-132.812
1,-0.189,0.065,-0.087,-131.165,49.683,-71.411
1,0.000,0.283,-0.609,14.709,9.216,-3.723
1,-0.086,0.199,-0.821,81.726,-29.846,14.038
