event,aX,aY,aZ,gX,gY,gZ
1,0.982,0.018,0.035,1.282,0.977,-0.183
1,1.001,0.020,0.054,2.625,1.831,-0.122
1,1.007,0.019,0.059,2.625,0.854,0.427
1,1.009,0.020,0.059,1.770,-0.366,0.610
1,0.995,0.026,0.033,-0.244,-2.380,0.854
1,0.987,0.024,0.017,-0.671,-2.747,0.549
1,0.982,0.021,0.009,0.305,-1.221,-0.427
1,0.982,0.021,0.014,1.709,0.610,-0.793
1,0.981,0.013,0.034,2.563,1.221,-0.671
1,0.983,0.013,0.047,4.028,1.648,0.061
1,1.001,0.021,0.053,3.662,0.854,0.488
1,1.009,0.026,0.041,1.892,-1.404,0.549
1,1.015,0.023,0.010,1.343,-1.709,0.061
1,1.011,0.017,-0.004,2.136,-0.671,-0.977
1,0.989,0.006,-0.020,2.991,-0.183,-1.099
1,0.984,0.004,-0.017,3.723,0.061,-1.404
1,0.968,0.006,-0.036,4.456,-0.244,-1.770
1,0.952,0.013,-0.055,7.812,-2.441,-2.991
1,0.956,0.032,-0.029,9.827,-2.991,-4.089
1,0.999,0.017,0.024,10.315,-3.113,-6.104
1,1.021,-0.001,0.032,4.944,-8.301,-4.578
1,1.044,-0.013,0.007,1.221,-13.245,-2.014
1,1.041,-0.002,-0.001,-3.357,-19.836,1.831
1,1.005,0.010,-0.028,-3.418,-20.081,2.197
1,0.968,0.005,-0.006,-2.930,-18.433,1.648
1,0.958,0.001,0.016,-1.160,-19.714,0.122
1,0.963,0.005,0.046,-0.549,-22.522,-0.305
1,0.978,0.008,0.041,-1.343,-28.259,0.183
1,1.018,0.023,0.027,-2.258,-29.907,0.671
1,1.043,0.029,0.059,-7.324,-32.959,1.892
1,1.040,0.025,0.096,-13.672,-36.560,3.845
1,1.001,-0.001,0.103,-14.832,-36.560,4.211
1,0.983,-0.018,0.066,-11.719,-36.316,3.967
1,0.973,-0.002,0.076,-7.935,-37.354,3.967
1,0.975,0.027,0.122,-7.751,-38.696,4.089
1,0.980,0.034,0.142,-12.024,-39.429,3.784
1,0.977,0.026,0.158,-11.658,-39.856,3.662
1,0.970,0.016,0.160,-11.536,-43.457,4.333
1,0.956,0.015,0.162,-11.658,-45.471,5.005
1,0.955,0.017,0.164,-9.827,-47.424,5.249
1,0.945,0.018,0.170,-8.789,-47.668,4.578
1,0.948,0.032,0.202,-7.568,-48.035,3.967
1,0.955,0.035,0.218,-7.019,-50.659,5.310
1,0.953,0.026,0.218,-7.874,-52.063,6.042
1,0.952,0.021,0.220,-9.644,-53.040,7.385
1,0.958,0.022,0.245,-8.850,-52.124,7.446
1,0.957,0.023,0.269,-6.226,-52.917,6.470
1,0.931,0.035,0.305,-6.836,-55.847,6.775
1,0.916,0.042,0.308,-10.010,-64.453,8.179
1,0.894,0.040,0.293,-11.475,-67.810,8.667
1,0.859,0.046,0.273,-12.451,-69.885,9.460
1,0.848,0.058,0.277,-11.169,-68.604,9.949
1,0.872,0.075,0.350,-9.338,-68.115,9.827
1,0.887,0.069,0.401,-4.150,-69.031,9.888
1,0.882,0.050,0.460,-1.465,-70.435,10.620
1,0.856,0.052,0.461,0.427,-73.242,12.756
