event,aX,aY,aZ,gX,gY,gZ
1,0.982,0.060,0.009,-0.427,0.122,-0.183
1,0.981,0.062,0.010,-0.427,0.854,0.000
1,0.990,0.062,0.013,-0.366,0.977,0.000
1,0.994,0.062,0.010,-0.305,1.404,-0.122
1,1.000,0.066,0.009,-0.305,1.648,-0.183
1,0.997,0.064,0.012,-0.183,1.770,0.183
1,0.992,0.062,0.010,0.610,1.953,0.244
1,0.985,0.060,0.004,0.916,1.953,0.183
1,0.986,0.061,0.002,0.610,1.770,0.183
1,0.993,0.062,0.003,0.366,1.831,0.183
1,0.994,0.063,0.007,0.061,1.892,0.000
1,0.993,0.065,0.017,-0.305,1.709,0.000
1,0.993,0.067,0.018,-0.793,1.099,0.488
1,0.992,0.070,0.020,-0.854,0.977,0.793
1,0.992,0.068,0.021,-0.488,2.502,0.854
1,0.994,0.057,0.020,-0.366,3.723,0.671
1,0.988,0.043,0.021,-2.136,5.310,0.000
1,0.987,0.040,0.003,-4.272,5.859,-0.427
1,0.978,0.051,-0.045,-3.784,6.165,-0.183
1,0.969,0.061,-0.059,0.488,9.033,0.977
1,0.952,0.068,-0.094,2.808,11.047,1.892
1,0.938,0.066,-0.115,4.211,12.573,3.540
1,0.899,0.074,-0.105,3.235,14.099,3.906
1,0.874,0.077,-0.098,0.977,22.583,3.174
1,0.832,0.066,-0.066,-0.854,28.687,2.747
1,0.806,0.047,-0.060,-4.395,43.030,3.601
1,0.797,0.046,-0.052,-2.136,57.068,4.028
1,0.765,0.049,-0.041,-2.014,63.232,3.479
1,0.743,0.057,-0.049,-7.751,73.181,2.869
1,0.698,0.063,-0.081,-12.146,77.942,3.113
1,0.667,0.061,-0.083,-20.325,88.867,4.272
1,0.616,0.062,-0.099,-22.034,96.375,5.066
1,0.575,0.068,-0.117,-12.268,108.582,5.432
1,0.561,0.061,-0.123,-0.916,116.211,3.296
1,0.563,0.045,-0.171,-2.075,117.126,1.648
1,0.568,0.044,-0.217,-8.667,109.741,-3.540
1,0.584,0.051,-0.305,-8.545,104.309,-6.470
1,0.662,0.079,-0.392,-4.639,90.393,-8.362
1,0.722,0.084,-0.415,9.949,72.754,-3.845
1,0.889,0.068,-0.397,22.095,68.848,-1.343
1,0.960,0.065,-0.404,37.354,78.369,-2.258
1,1.056,0.092,-0.507,35.461,84.778,-5.371
1,1.084,0.118,-0.552,24.109,82.703,-8.728
1,1.131,0.139,-0.568,16.174,78.125,-6.287
1,1.153,0.093,-0.582,-1.770,78.491,3.052
1,1.132,0.059,-0.573,-4.578,89.966,5.615
1,1.046,0.029,-0.500,-3.418,96.680,5.127
1,1.004,0.039,-0.467,-12.878,104.187,7.324
1,0.885,0.069,-0.482,-23.071,102.783,10.376
1,0.828,0.074,-0.526,-37.964,96.069,17.517
1,0.783,0.024,-0.614,-36.072,94.116,17.273
1,0.776,0.002,-0.627,-22.034,94.910,6.287
1,0.756,0.027,-0.603,-21.301,94.360,-7.263
1,0.721,0.082,-0.594,-28.564,90.149,-9.705
1,0.700,0.086,-0.599,-37.170,80.750,-7.446
1,0.697,0.038,-0.650,-35.034,80.811,-6.409
1,0.704,0.009,-0.681,-29.236,84.595,-6.897
1,0.687,-0.005,-0.730,-28.503,84.229,-6.836
1,0.652,0.010,-0.771,-26.978,73.486,-3.113
1,0.577,0.067,-0.855,-23.865,63.904,-0.977
1,0.560,0.092,-0.823,-16.418,47.729,-0.305
1,0.582,0.092,-0.767,-9.338,58.105,-0.549
1,0.686,0.047,-0.759,-8.667,67.444,-0.977
1,0.716,0.012,-0.808,-11.108,64.758,-3.967
1,0.661,-0.031,-0.875,-9.705,53.101,-5.188
1,0.571,-0.020,-0.870,-0.366,32.471,-4.944
1,0.559,-0.009,-0.846,2.808,27.100,-4.272
1,0.583,0.010,-0.807,2.808,24.963,-4.211
1,0.602,0.011,-0.820,-7.019,22.095,-5.798
1,0.596,-0.009,-0.909,-13.306,16.296,-5.737
1,0.573,-0.025,-0.957,-13.794,1.038,-2.014
1,0.544,-0.034,-0.965,-6.592,-2.075,-0.732
1,0.554,-0.027,-0.939,5.188,6.531,0.366
1,0.627,0.014,-0.846,7.812,14.832,0.671
1,0.660,0.045,-0.841,4.150,23.560,-1.343
1,0.625,0.042,-0.872,-5.371,8.423,-4.333
1,0.493,-0.002,-0.950,-6.775,-1.709,-5.066
1,0.444,-0.026,-0.988,-1.404,-12.695,-6.042
1,0.447,-0.039,-1.034,3.845,-14.893,-6.531
1,0.533,-0.013,-1.008,8.911,-13.306,-6.653
1,0.582,-0.002,-0.997,3.174,-5.493,-5.981
1,0.631,-0.010,-1.023,0.549,-4.333,-5.920
1,0.612,-0.022,-1.049,1.160,-11.597,-5.493
1,0.544,-0.023,-1.061,4.150,-14.343,-5.615
1,0.560,-0.003,-1.012,10.742,-10.193,-6.226
1,0.595,0.003,-0.973,10.742,-5.554,-6.897
1,0.633,-0.005,-0.932,7.751,-6.958,-7.507
1,0.605,-0.025,-0.948,2.930,-19.104,-7.446
1,0.509,-0.059,-0.989,1.404,-26.611,-7.263
1,0.481,-0.072,-0.975,-1.160,-34.729,-7.446
1,0.521,-0.069,-0.959,0.488,-32.776,-6.470
1,0.631,-0.039,-0.924,4.639,-33.325,-6.714
1,0.662,-0.030,-0.917,9.583,-41.565,-8.362
1,0.680,-0.017,-0.905,7.690,-47.852,-8.545
1,0.703,-0.011,-0.913,-1.160,-58.655,-6.714
1,0.711,-0.002,-0.913,-8.118,-65.430,-4.333
1,0.710,0.007,-0.887,-10.559,-68.909,-3.113
1,0.712,0.002,-0.858,-14.648,-78.796,0.244
1,0.755,0.003,-0.854,-15.137,-84.045,2.441
1,0.797,0.012,-0.881,-11.841,-92.346,6.470
1,0.897,0.028,-0.924,-6.958,-93.506,8.057
1,0.991,0.031,-0.888,6.531,-85.815,11.047
1,1.024,0.023,-0.844,13.123,-76.782,11.108
1,1.035,-0.009,-0.698,19.531,-52.429,7.629
1,1.008,-0.020,-0.620,9.705,-30.518,2.930
1,0.898,-0.021,-0.497,3.967,-25.635,1.526
1,0.834,-0.024,-0.455,-2.808,-26.978,2.502
1,0.721,-0.016,-0.431,-2.930,-37.720,4.517
1,0.662,-0.014,-0.445,-1.831,-46.143,3.967
1,0.657,-0.015,-0.443,0.366,-63.110,0.671
1,0.689,0.001,-0.455,2.136,-68.115,-0.671
1,0.735,0.012,-0.487,7.019,-72.327,-2.014
1,0.754,0.023,-0.489,9.155,-71.472,-2.197
1,0.819,0.036,-0.469,8.362,-67.505,-1.709
1,0.866,0.033,-0.449,4.578,-55.908,0.854
1,0.935,0.002,-0.427,3.784,-51.331,2.686
1,0.936,-0.010,-0.424,6.653,-47.241,4.639
1,0.894,-0.003,-0.431,10.864,-48.035,4.395
1,0.861,0.008,-0.427,10.986,-50.537,4.395
1,0.859,0.012,-0.408,10.620,-55.664,6.531
1,0.889,0.016,-0.353,10.437,-55.847,7.751
1,0.914,0.013,-0.327,8.179,-51.086,7.629
1,0.952,0.006,-0.313,6.226,-47.668,6.409
1,0.941,0.011,-0.343,1.953,-43.213,3.235
1,0.921,0.019,-0.359,-3.052,-45.593,1.221
1,0.902,0.027,-0.346,-4.395,-48.645,0.366
1,0.907,0.025,-0.331,-3.784,-52.490,0.305
1,0.930,0.013,-0.307,-2.625,-52.185,1.282
1,0.958,0.007,-0.282,0.366,-47.485,4.028
1,0.965,0.013,-0.271,6.348,-39.001,4.211
1,0.967,0.015,-0.248,8.606,-34.485,2.441
1,0.966,0.005,-0.232,4.944,-28.259,0.000
1,0.958,-0.015,-0.262,1.953,-28.076,0.061
1,0.953,-0.001,-0.269,-2.380,-37.170,1.465
1,0.952,0.007,-0.268,-5.493,-48.096,4.395
1,0.937,0.026,-0.243,-7.019,-50.049,6.409
1,0.937,0.033,-0.224,-4.456,-41.931,8.667
1,0.957,0.029,-0.215,-3.235,-34.729,7.751
1,0.966,0.028,-0.215,-3.723,-25.452,4.761
1,0.979,0.025,-0.220,-4.578,-25.085,4.272
1,0.983,0.033,-0.210,-8.728,-29.968,4.639
1,0.982,0.041,-0.189,-9.705,-32.166,4.883
1,0.979,0.049,-0.157,-7.507,-30.762,7.019
1,0.980,0.048,-0.153,-3.967,-23.926,9.338
1,0.986,0.028,-0.166,-2.625,-20.752,9.277
1,0.984,0.022,-0.172,-1.770,-19.409,8.850
1,0.969,0.035,-0.176,-1.953,-21.423,9.216
1,0.962,0.060,-0.153,-3.784,-27.039,10.742
1,0.956,0.067,-0.143,-6.531,-28.687,11.841
1,0.946,0.065,-0.130,-6.470,-27.832,11.841
1,0.948,0.062,-0.113,-4.639,-23.926,10.132
1,0.973,0.055,-0.104,-4.089,-21.790,8.606
1,0.989,0.057,-0.115,-2.869,-22.461,4.944
1,1.006,0.082,-0.109,-2.625,-24.719,3.540
1,0.998,0.085,-0.115,-5.188,-25.940,2.563
1,0.987,0.077,-0.115,-6.531,-24.597,2.319
1,0.987,0.060,-0.085,-3.784,-19.287,2.014
1,0.990,0.056,-0.064,1.221,-11.108,2.197
1,0.998,0.057,-0.044,2.441,-7.446,2.502
1,0.997,0.059,-0.049,0.977,-5.249,3.540
1,0.996,0.065,-0.066,-0.244,-6.531,3.906
1,0.986,0.059,-0.079,-1.709,-11.230,4.333
1,0.988,0.062,-0.070,-0.916,-10.803,3.174
1,0.996,0.070,-0.059,-1.221,-8.606,2.563
1,0.998,0.068,-0.066,-3.479,-4.700,1.892
1,0.992,0.071,-0.076,-3.723,-3.784,1.221
1,0.987,0.075,-0.078,-2.319,-4.211,1.099
1,0.979,0.075,-0.080,-1.587,-4.395,1.465
1,0.983,0.074,-0.069,-0.061,-3.540,1.526
1,0.985,0.072,-0.067,-0.427,-2.808,1.648
1,0.979,0.066,-0.079,-0.854,-2.319,0.977
1,0.980,0.068,-0.082,0.427,-0.854,-0.793
1,0.985,0.074,-0.087,1.160,-0.488,-0.793
1,0.986,0.074,-0.087,1.648,-0.488,-0.427
1,0.984,0.066,-0.096,2.197,-1.099,-0.061
1,0.979,0.061,-0.094,1.709,-1.526,-0.061
1,0.983,0.058,-0.084,2.197,0.122,-0.854
1,0.991,0.062,-0.073,2.319,1.282,-1.404
1,0.992,0.064,-0.071,1.099,1.892,-2.136
1,0.994,0.067,-0.075,0.732,1.831,-2.136
1,0.995,0.067,-0.086,0.427,1.282,-1.831
1,0.995,0.065,-0.090,0.366,0.793,-1.770
1,0.990,0.059,-0.090,0.000,0.549,-1.831
1,0.988,0.057,-0.085,0.610,1.709,-2.136
1,0.988,0.058,-0.077,0.916,2.502,-2.319
1,0.990,0.059,-0.079,-0.122,3.052,-2.502
1,0.991,0.062,-0.088,-0.732,2.930,-2.380
1,0.989,0.062,-0.092,-1.099,2.563,-1.709
1,0.989,0.060,-0.102,-0.854,2.258,-1.221
1,0.986,0.057,-0.101,0.854,0.977,-0.549
1,0.985,0.059,-0.095,2.380,1.282,-0.366
1,0.989,0.057,-0.093,2.197,2.380,-0.671
1,0.988,0.053,-0.098,1.404,4.028,-1.526
1,0.989,0.056,-0.096,0.610,4.211,-1.648
1,0.990,0.056,-0.103,-0.671,2.930,-1.343
1,0.986,0.056,-0.124,0.244,0.854,-1.160
1,0.989,0.064,-0.077,3.418,-2.014,-0.916
1,0.988,0.060,-0.076,0.305,1.282,-0.977
1,0.985,0.045,-0.111,-2.502,1.770,-1.038
1,0.983,0.044,-0.122,-2.686,-0.549,-0.977
2,0.985,0.028,-0.035,-0.793,0.488,0.000
2,0.983,0.029,-0.033,-0.122,-0.793,0.610
2,0.991,0.030,-0.039,-0.183,-0.977,0.549
2,0.997,0.030,-0.042,-0.793,-1.038,0.183
2,1.004,0.030,-0.036,-0.977,-0.793,0.122
2,1.001,0.032,-0.030,-0.854,-0.061,0.305
2,0.998,0.033,-0.032,-0.549,-0.061,0.549
2,0.993,0.032,-0.040,-0.305,-0.244,0.549
2,0.989,0.031,-0.046,0.000,-0.183,0.122
2,0.990,0.027,-0.043,0.305,0.244,-0.183
2,0.989,0.025,-0.047,0.366,-0.244,-0.122
2,0.988,0.026,-0.042,0.061,-1.953,0.061
2,0.993,0.033,-0.032,0.305,-1.892,0.061
2,0.997,0.036,-0.035,0.977,-0.793,0.122
2,1.007,0.039,-0.018,1.526,0.732,0.305
2,1.000,0.035,-0.007,2.441,2.625,0.183
2,0.978,0.026,-0.036,0.793,6.592,0.122
2,0.939,0.016,-0.097,-1.770,6.836,0.305
2,0.937,0.019,-0.098,-2.075,6.165,0.305
2,0.958,0.035,-0.080,-0.732,7.568,0.183
2,0.969,0.042,-0.082,1.099,14.465,0.671
2,0.970,0.043,-0.106,1.892,18.188,0.916
2,0.948,0.036,-0.118,3.723,23.376,0.854
2,0.935,0.037,-0.110,2.014,26.428,0.854
2,0.906,0.042,-0.092,5.615,28.442,0.366
2,0.899,0.040,-0.084,13.062,34.119,-1.099
2,0.904,0.032,-0.068,13.611,37.170,-1.892
2,0.910,0.028,-0.073,7.935,41.138,-3.540
2,0.901,0.021,-0.120,3.357,41.504,-4.333
2,0.893,0.023,-0.141,-3.479,41.443,-4.517
2,0.875,0.027,-0.168,-0.916,42.419,-4.272
2,0.854,0.030,-0.171,3.601,46.570,-2.991
2,0.843,0.028,-0.161,5.676,54.321,-1.648
2,0.821,0.018,-0.150,5.981,60.059,-1.953
2,0.813,0.019,-0.150,2.686,70.801,-3.784
2,0.795,0.022,-0.187,-0.122,73.364,-4.028
2,0.781,0.026,-0.211,-3.418,71.655,-2.869
2,0.759,0.024,-0.218,-3.235,72.388,-2.258
2,0.724,0.024,-0.249,-4.761,73.914,-2.991
2,0.718,0.029,-0.239,-5.493,79.468,-3.967
2,0.739,0.024,-0.205,-3.174,84.839,-3.418
2,0.751,0.006,-0.266,-3.296,96.130,-1.770
2,0.737,0.005,-0.319,-7.080,96.863,-2.502
2,0.704,0.015,-0.376,-7.080,93.811,-3.113
2,0.690,0.027,-0.371,-5.188,86.426,-2.930
2,0.691,0.037,-0.356,2.930,89.111,-4.028
2,0.706,0.023,-0.393,7.019,93.506,-5.310
2,0.722,0.010,-0.437,7.446,98.999,-7.507
2,0.750,-0.018,-0.525,3.662,98.022,-7.324
2,0.758,-0.041,-0.561,-4.272,91.431,-2.930
2,0.767,-0.046,-0.551,-2.686,86.365,1.648
2,0.814,-0.034,-0.505,1.099,87.158,1.831
2,0.839,-0.011,-0.512,5.676,94.421,-2.380
2,0.861,0.027,-0.595,2.197,96.436,-4.578
2,0.841,0.029,-0.642,-12.695,90.149,-4.150
2,0.749,0.009,-0.708,-18.921,83.252,-2.380
2,0.679,-0.011,-0.688,-17.517,75.195,-0.305
2,0.677,-0.025,-0.667,-3.235,83.679,-1.953
