event,aX,aY,aZ,gX,gY,gZ
1,1.025,0.114,-0.047,-40.649,-6.836,-15.320
1,1.047,0.081,-0.024,-42.053,-7.141,-16.296
1,1.052,0.073,-0.025,-45.044,-9.583,-19.043
1,1.071,0.073,-0.010,-47.180,-11.902,-20.752
1,1.098,0.072,-0.002,-50.903,-14.404,-23.987
1,1.107,0.076,-0.007,-51.270,-14.832,-27.100
1,1.137,0.069,-0.028,-50.659,-15.442,-28.992
1,1.157,0.056,-0.048,-50.415,-19.836,-33.752
1,1.194,0.048,-0.064,-50.476,-22.766,-36.133
1,1.213,0.064,-0.020,-47.729,-23.987,-38.208
1,1.192,0.062,-0.038,-37.964,-14.221,-37.354
1,1.093,0.032,-0.122,-29.236,-7.690,-37.415
1,1.039,0.005,-0.098,-14.709,1.404,-38.208
1,0.909,-0.067,-0.054,-14.954,2.319,-38.513
1,0.787,-0.111,-0.139,-27.283,-5.066,-36.621
1,0.753,-0.104,-0.161,-35.583,-12.329,-30.273
1,0.743,-0.086,-0.168,-35.950,-12.512,-26.367
1,0.770,-0.078,-0.160,-34.485,-10.376,-18.188
1,0.871,-0.080,-0.123,-33.386,-8.545,-14.282
1,0.928,-0.085,-0.113,-31.677,-2.808,-7.202
1,1.017,-0.093,-0.124,-30.945,0.061,-4.517
1,1.047,-0.094,-0.124,-28.870,5.493,-1.343
1,1.039,-0.102,-0.125,-29.114,9.033,-0.610
1,1.013,-0.129,-0.111,-31.372,8.179,-1.160
1,1.012,-0.132,-0.073,-40.527,1.831,-2.686
1,1.023,-0.119,0.002,-46.814,-1.648,-2.747
1,1.028,-0.104,0.012,-48.218,-2.136,-2.258
1,1.021,-0.098,-0.010,-47.546,-0.061,-0.183
1,0.980,-0.087,-0.048,-44.983,2.136,0.977
1,0.927,-0.074,-0.028,-38.330,6.348,3.418
1,0.900,-0.071,-0.032,-33.142,7.080,5.249
1,0.883,-0.084,-0.026,-30.212,6.348,5.493
1,0.891,-0.094,-0.014,-24.414,5.554,5.859
1,0.917,-0.088,-0.014,-22.278,5.676,6.470
1,0.942,-0.078,-0.029,-18.188,6.958,7.507
1,0.947,-0.086,-0.034,-12.146,9.216,7.324
1,0.940,-0.109,-0.034,-8.301,10.132,7.141
1,0.930,-0.119,-0.035,0.122,11.780,7.141
1,0.917,-0.137,-0.037,3.113,12.024,7.141
1,0.918,-0.139,-0.031,4.456,10.986,6.409
